CODCP_INEI,CODCCPP,CEN_POB,CODGEO,D_DPTO,D_PROV,D_DIST,D_REGION,REGION
604120031,125038,HUAMBARA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120032,111159,CHAPUNIS,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120022,543544,SHAHUINDO,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120017,113471,SHASHALA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120014,125988,ACHUCALA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120005,124963,SAN ANTONIO DE CONGONA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120027,511582,HUANABAL,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120015,530791,PIEDRA BLANCA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120004,123476,RUMICHACA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120021,573922,ANGUYACU,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120020,573127,EL NARANJO,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120012,119079,EL GUAYABO,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120016,573971,PUQUIOPAMPA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120043,573641,PALO VERDE,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120011,116471,HACIENDA SANGANA,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120025,118269,NIEVES,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120024,573166,ANGULIS,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120008,574389,SAN JUAN DE UNICAN,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
,NA,LA COMUNIDAD,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604120018,519477,TUQUE,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604160019,530913,PALO BLANCO,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
604160024,573709,LAS PAMPAS,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
604160003,131447,CHILANLAN,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
604160013,572975,LA MUCHALA,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
604160004,132059,SAN ANTONIO,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
604160026,128645,EL HORNO,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
604160001,117611,SAN JUAN DE LICUPIS,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
604180001,111794,TOCMOCHE,60418,CAJAMARCA,CHOTA,TOCMOCHE,DRE CAJAMARCA,CAJAMARCA
604180024,130785,TRE HUACAS,60418,CAJAMARCA,CHOTA,TOCMOCHE,DRE CAJAMARCA,CAJAMARCA
604180018,219683,LLACADEN,60418,CAJAMARCA,CHOTA,TOCMOCHE,DRE CAJAMARCA,CAJAMARCA
604180020,573615,YAQUE,60418,CAJAMARCA,CHOTA,TOCMOCHE,DRE CAJAMARCA,CAJAMARCA
604180011,112208,LUZCAPAMPA,60418,CAJAMARCA,CHOTA,TOCMOCHE,DRE CAJAMARCA,CAJAMARCA
604180007,215116,TANGASCA,60418,CAJAMARCA,CHOTA,TOCMOCHE,DRE CAJAMARCA,CAJAMARCA
604180029,114229,CASOPE,60418,CAJAMARCA,CHOTA,TOCMOCHE,DRE CAJAMARCA,CAJAMARCA
604170003,613852,SAN LUIS DE PUÑA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604110003,246581,LA SUCCHA / MOLLE,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604030005,653325,JELELIP / VISTA HERMOSA,60403,CAJAMARCA,CHOTA,CHADIN,DRE CAJAMARCA,CAJAMARCA
604060009,215103,NUEVA ESPERANZA,60406,CAJAMARCA,CHOTA,CHOROPAMPA,DRE CAJAMARCA,CAJAMARCA
604030008,625401,LA SUCCHA,60403,CAJAMARCA,CHOTA,CHADIN,DRE CAJAMARCA,CAJAMARCA
604120045,617532,MAJIN,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
,655474,CAMPAMENTO TUNEL CONCHANO,60401,CAJAMARCA,CHOTA,CHOTA,DRE CAJAMARCA,CAJAMARCA
,682556,SAN PABLO,60413,CAJAMARCA,CHOTA,PACCHA,DRE CAJAMARCA,CAJAMARCA
604120010,130632,MINAS,60412,CAJAMARCA,CHOTA,MIRACOSTA,DRE CAJAMARCA,CAJAMARCA
604060004,621063,LA PALMERAS,60406,CAJAMARCA,CHOTA,CHOROPAMPA,DRE CAJAMARCA,CAJAMARCA
604070004,619550,ALTO LLANDUMA,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604170055,573888,LA UNION PUCARA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604070019,513024,CHAVILPAMPA,60407,CAJAMARCA,CHOTA,COCHABAMBA,DRE CAJAMARCA,CAJAMARCA
604170049,619000,LAS PALMERAS,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
604140008,241426,CHILCAPAMPA,60414,CAJAMARCA,CHOTA,PION,DRE CAJAMARCA,CAJAMARCA
604060015,551632,PALCOPAMPA,60406,CAJAMARCA,CHOTA,CHOROPAMPA,DRE CAJAMARCA,CAJAMARCA
604160010,574263,CHATUQUIS,60416,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,DRE CAJAMARCA,CAJAMARCA
604190024,610567,EL TRIUNFO,60419,CAJAMARCA,CHOTA,CHALAMARCA,DRE CAJAMARCA,CAJAMARCA
604030020,651407,LA SOLEDAD,60403,CAJAMARCA,CHOTA,CHADIN,DRE CAJAMARCA,CAJAMARCA
604150032,521600,LA IRACA,60415,CAJAMARCA,CHOTA,QUEROCOTO,DRE CAJAMARCA,CAJAMARCA
613110001,126389,YAUYACAN,61311,CAJAMARCA,SANTA CRUZ,YAUYUCAN,DRE CAJAMARCA,CAJAMARCA
604150020,652579,LA PAMPA,60415,CAJAMARCA,CHOTA,QUEROCOTO,DRE CAJAMARCA,CAJAMARCA
604030003,615090,JELELIF,60403,CAJAMARCA,CHOTA,CHADIN,DRE CAJAMARCA,CAJAMARCA
604110010,553627,HUALANGA,60411,CAJAMARCA,CHOTA,LLAMA,DRE CAJAMARCA,CAJAMARCA
604170013,622599,PROGRESOPAMPA,60417,CAJAMARCA,CHOTA,TACABAMBA,DRE CAJAMARCA,CAJAMARCA
,NA,HUANGAMARQUILLA SECTOR LA PAMPA,60419,CAJAMARCA,CHOTA,CHALAMARCA,DRE CAJAMARCA,CAJAMARCA
604130022,653247,IGLESIAPAMPA,60413,CAJAMARCA,CHOTA,PACCHA,DRE CAJAMARCA,CAJAMARCA
604010079,658501,CHOCTAPATA,60401,CAJAMARCA,CHOTA,CHOTA,DRE CAJAMARCA,CAJAMARCA
605010001,120704,CONTUMAZA,60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,DRE CAJAMARCA,CAJAMARCA
,223813,LLALLAN,60502,CAJAMARCA,CONTUMAZA,CHILETE,DRE CAJAMARCA,CAJAMARCA
605030001,129324,TRINIDAD,60503,CAJAMARCA,CONTUMAZA,CUPISNIQUE,DRE CAJAMARCA,CAJAMARCA
605030003,129882,SANTA CATALINA,60503,CAJAMARCA,CONTUMAZA,CUPISNIQUE,DRE CAJAMARCA,CAJAMARCA
605040001,129680,GUZMANGO,60504,CAJAMARCA,CONTUMAZA,GUZMANGO,DRE CAJAMARCA,CAJAMARCA
605050001,133085,SAN BENITO,60505,CAJAMARCA,CONTUMAZA,SAN BENITO,DRE CAJAMARCA,CAJAMARCA
605050049,520806,LA PORTADA,60505,CAJAMARCA,CONTUMAZA,SAN BENITO,DRE CAJAMARCA,CAJAMARCA
605050051,528192,LA HUACA,60505,CAJAMARCA,CONTUMAZA,SAN BENITO,DRE CAJAMARCA,CAJAMARCA
605050040,130506,SANTA ANA,60505,CAJAMARCA,CONTUMAZA,SAN BENITO,DRE CAJAMARCA,CAJAMARCA
605060001,124087,SANTA CRUZ DE TOLEDO,60506,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLEDO,DRE CAJAMARCA,CAJAMARCA
605060049,213211,AYAMBLA,60506,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLEDO,DRE CAJAMARCA,CAJAMARCA
605070002,216078,EL SALITRE,60507,CAJAMARCA,CONTUMAZA,TANTARICA,DRE CAJAMARCA,CAJAMARCA
605070001,132150,CATAN,60507,CAJAMARCA,CONTUMAZA,TANTARICA,DRE CAJAMARCA,CAJAMARCA
605080001,120492,TEMBLADERA,60508,CAJAMARCA,CONTUMAZA,YONAN,DRE CAJAMARCA,CAJAMARCA
605020001,122934,CHILETE,60502,CAJAMARCA,CONTUMAZA,CHILETE,DRE CAJAMARCA,CAJAMARCA
605080027,125333,VENTANILLAS,60508,CAJAMARCA,CONTUMAZA,YONAN,DRE CAJAMARCA,CAJAMARCA
605080021,619405,YONAN NUEVO,60508,CAJAMARCA,CONTUMAZA,YONAN,DRE CAJAMARCA,CAJAMARCA
605080015,527091,LA FLORIDA,60508,CAJAMARCA,CONTUMAZA,YONAN,DRE CAJAMARCA,CAJAMARCA
605080032,128538,CAFETAL,60508,CAJAMARCA,CONTUMAZA,YONAN,DRE CAJAMARCA,CAJAMARCA
605010084,132588,LA TRAVESIA,60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,DRE CAJAMARCA,CAJAMARCA
605010011,531935,EL GUAYABO,60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,DRE CAJAMARCA,CAJAMARCA
605010079,240243,SALCOT,60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,DRE CAJAMARCA,CAJAMARCA
605010044,117288,CATUDEN,60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,DRE CAJAMARCA,CAJAMARCA
605080002,238310,PAY PAY,60508,CAJAMARCA,CONTUMAZA,YONAN,DRE CAJAMARCA,CAJAMARCA
605080003,116445,TOLON,60508,CAJAMARCA,CONTUMAZA,YONAN,DRE CAJAMARCA,CAJAMARCA
605030028,515886,LA ZANJA,60503,CAJAMARCA,CONTUMAZA,CUPISNIQUE,DRE CAJAMARCA,CAJAMARCA
605070034,216152,ALTAMISA,60507,CAJAMARCA,CONTUMAZA,TANTARICA,DRE CAJAMARCA,CAJAMARCA
605010073,220359,SILACOT,60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,DRE CAJAMARCA,CAJAMARCA
605010050,129173,LA COCHA,60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,DRE CAJAMARCA,CAJAMARCA
